iter	RMSE
0	1.569004608
1	1.528002823
2	1.490931113
3	1.451714222
4	1.41847864
5	1.385813465
6	1.354284435
7	1.325107501
8	1.297223075
9	1.271779773
10	1.23845895
11	1.215616034
12	1.187218009
13	1.157202743
14	1.13178212
15	1.106507385
16	1.080067783
17	1.052651732
18	1.029336052
19	1.004362916
20	0.9855171724
21	0.9597334601
22	0.9379057711
23	0.9149967141
24	0.896946868
25	0.8782845404
26	0.859424349
27	0.8392858236
28	0.8213614822
29	0.8047678828
30	0.7881241386
31	0.7737029635
32	0.7599618551
33	0.7469776167
34	0.7311568046
35	0.7177073566
36	0.7036280601
37	0.6891962396
38	0.674722843
39	0.6641585795
40	0.6514031312
41	0.637593142
42	0.6235212679
43	0.6113205791
44	0.6004002683
45	0.5892796145
46	0.5792311926
47	0.5692509457
48	0.5605331021
49	0.5495121644
50	0.5404226204
51	0.5324158349
52	0.5231871094
53	0.5134777924
54	0.5052027895
55	0.4975620173
56	0.4892307168
57	0.4803326204
58	0.4716466373
59	0.4641774463
60	0.4562280277
61	0.4489506882
62	0.4421036078
63	0.435160654
64	0.4278046785
65	0.4208271319
66	0.4146667725
67	0.407969775
68	0.4000845134
69	0.3930577389
70	0.3859177766
71	0.3802075663
72	0.3748232733
73	0.3689580225
74	0.3635040658
75	0.3592380565
76	0.3529002527
77	0.3482849542
78	0.3443927873
79	0.3392027753
80	0.3354942152
81	0.3310341471
82	0.3268265901
83	0.322791217
84	0.3182583096
85	0.3138546209
86	0.3093940531
87	0.3050460776
88	0.3002643463
89	0.2965983246
90	0.2923239469
91	0.2888753545
92	0.2850152196
93	0.282400277
94	0.2791223963
95	0.2751820065
96	0.2722637558
97	0.2688202346
98	0.2661027543
99	0.2637219695
