iter	Passed	Remaining
0	63	63872
1	67	33524
2	70	23426
3	73	18355
4	76	15312
5	80	13276
6	83	11817
7	86	10711
8	89	9802
9	91	9101
10	94	8537
11	97	8032
12	99	7590
13	102	7240
14	105	6903
15	107	6640
16	110	6409
17	113	6203
18	116	6009
19	118	5819
20	121	5657
21	124	5520
22	126	5383
23	129	5260
24	131	5147
25	134	5040
26	137	4942
27	139	4847
28	142	4755
29	144	4673
30	146	4592
31	149	4519
32	152	4458
33	154	4398
34	157	4344
35	160	4290
36	162	4241
37	165	4201
38	168	4156
39	171	4115
40	173	4069
41	176	4026
42	179	3987
43	181	3953
44	184	3916
45	187	3882
46	189	3848
47	192	3808
48	194	3783
49	197	3748
50	199	3715
51	202	3686
52	204	3660
53	207	3637
54	209	3607
55	212	3584
56	215	3559
57	218	3540
58	220	3515
59	222	3493
60	225	3472
61	228	3451
62	231	3435
63	233	3411
64	235	3394
65	238	3372
66	241	3357
67	243	3338
68	245	3317
69	248	3303
70	251	3287
71	253	3272
72	256	3255
73	259	3241
74	261	3225
75	264	3211
76	266	3199
77	269	3185
78	272	3171
79	274	3158
80	277	3147
81	279	3132
82	282	3120
83	284	3106
84	287	3096
85	290	3083
86	292	3072
87	295	3061
88	297	3049
89	300	3041
90	303	3028
91	305	3018
92	308	3007
93	311	2999
94	314	2992
95	316	2981
96	319	2973
97	322	2967
98	325	2958
99	327	2950
100	330	2941
101	333	2933
102	335	2923
103	338	2913
104	340	2904
105	343	2896
106	346	2890
107	349	2883
108	351	2875
109	354	2866
110	356	2856
111	359	2849
112	362	2843
113	364	2833
114	367	2825
115	369	2818
116	372	2810
117	374	2802
118	377	2795
119	380	2787
120	382	2782
121	385	2774
122	388	2766
123	390	2760
124	393	2754
125	395	2746
126	398	2740
127	401	2732
128	404	2728
129	406	2720
130	409	2713
131	411	2706
132	414	2700
133	417	2697
134	420	2691
135	422	2686
136	425	2681
137	428	2673
138	430	2666
139	432	2659
140	435	2653
141	437	2645
142	440	2637
143	442	2630
144	445	2624
145	447	2619
146	450	2612
147	452	2607
148	455	2602
149	458	2596
150	460	2591
151	463	2587
152	466	2580
153	468	2574
154	471	2568
155	473	2562
156	476	2557
157	479	2553
158	481	2549
159	484	2545
160	487	2541
161	490	2537
162	493	2531
163	495	2526
164	498	2521
165	500	2516
166	503	2511
167	506	2507
168	508	2501
169	511	2496
170	514	2492
171	516	2486
172	519	2481
173	521	2476
174	524	2472
175	527	2467
176	529	2463
177	532	2458
178	534	2453
179	537	2448
180	540	2444
181	542	2439
182	545	2435
183	547	2429
184	550	2424
185	552	2419
186	555	2415
187	558	2411
188	561	2407
189	563	2402
190	566	2398
191	568	2394
192	571	2390
193	574	2386
194	576	2381
195	579	2377
196	581	2371
197	584	2368
198	587	2363
199	589	2359
200	592	2354
201	594	2349
202	597	2344
203	599	2340
204	602	2335
205	604	2330
206	607	2326
207	609	2321
208	612	2316
209	614	2312
210	617	2309
211	620	2305
212	622	2300
213	625	2296
214	627	2292
215	630	2287
216	632	2282
217	635	2278
218	638	2276
219	640	2272
220	643	2268
221	645	2263
222	648	2259
223	651	2256
224	653	2252
225	656	2249
226	659	2244
227	661	2239
228	664	2236
229	666	2232
230	669	2228
231	671	2223
232	674	2220
233	677	2216
234	679	2213
235	682	2210
236	685	2206
237	687	2202
238	690	2198
239	693	2194
240	695	2190
241	698	2186
242	700	2183
243	703	2180
244	706	2175
245	708	2171
246	710	2167
247	713	2164
248	716	2161
249	719	2157
250	721	2153
251	724	2149
252	726	2145
253	729	2143
254	732	2139
255	734	2135
256	737	2132
257	740	2128
258	742	2124
259	745	2121
260	748	2117
261	750	2114
262	753	2110
263	755	2107
264	758	2102
265	760	2097
266	762	2093
267	765	2090
268	767	2086
269	770	2083
270	773	2080
271	775	2076
272	778	2073
273	780	2069
274	783	2065
275	786	2062
276	788	2059
277	791	2055
278	793	2051
279	796	2047
280	798	2043
281	801	2040
282	803	2035
283	806	2032
284	808	2028
285	811	2025
286	813	2021
287	815	2017
288	818	2014
289	821	2010
290	824	2007
291	826	2004
292	829	2001
293	831	1997
294	834	1994
295	837	1990
296	839	1987
297	842	1984
298	844	1980
299	847	1976
300	849	1972
301	852	1969
302	854	1965
303	856	1961
304	859	1958
305	861	1954
306	864	1951
307	866	1947
308	869	1944
309	871	1940
310	874	1937
311	876	1933
312	879	1929
313	881	1926
314	884	1922
315	886	1919
316	889	1915
317	891	1911
318	894	1908
319	896	1905
320	899	1901
321	901	1898
322	904	1895
323	906	1892
324	909	1888
325	912	1885
326	915	1883
327	917	1880
328	920	1877
329	923	1874
330	925	1871
331	928	1868
332	930	1864
333	933	1861
334	936	1858
335	938	1854
336	941	1851
337	943	1848
338	946	1845
339	949	1842
340	951	1838
341	954	1835
342	956	1832
343	959	1829
344	961	1826
345	964	1823
346	967	1819
347	969	1816
348	971	1812
349	974	1809
350	977	1807
351	980	1804
352	982	1801
353	985	1797
354	987	1794
355	990	1790
356	992	1787
357	995	1784
358	997	1781
359	1000	1778
360	1003	1775
361	1005	1772
362	1008	1769
363	1011	1766
364	1013	1763
365	1016	1760
366	1018	1756
367	1021	1753
368	1023	1750
369	1026	1747
370	1028	1744
371	1031	1740
372	1033	1737
373	1036	1734
374	1038	1731
375	1041	1727
376	1043	1724
377	1045	1720
378	1048	1717
379	1050	1714
380	1053	1710
381	1055	1707
382	1058	1704
383	1060	1701
384	1063	1698
385	1066	1695
386	1068	1692
387	1071	1689
388	1073	1686
389	1076	1683
390	1079	1680
391	1081	1677
392	1084	1674
393	1086	1671
394	1089	1668
395	1091	1664
396	1093	1661
397	1096	1658
398	1098	1655
399	1101	1652
400	1104	1649
401	1106	1645
402	1108	1642
403	1111	1639
404	1113	1636
405	1116	1633
406	1118	1629
407	1121	1626
408	1123	1623
409	1126	1621
410	1128	1617
411	1131	1614
412	1133	1611
413	1135	1607
414	1138	1604
415	1141	1601
416	1143	1599
417	1146	1596
418	1148	1592
419	1151	1589
420	1153	1586
421	1156	1583
422	1159	1581
423	1161	1578
424	1164	1575
425	1166	1572
426	1168	1568
427	1171	1565
428	1174	1562
429	1176	1559
430	1179	1556
431	1181	1553
432	1184	1550
433	1186	1547
434	1189	1544
435	1191	1541
436	1193	1538
437	1196	1535
438	1199	1532
439	1202	1529
440	1204	1526
441	1207	1525
442	1210	1522
443	1213	1519
444	1216	1517
445	1219	1515
446	1222	1512
447	1225	1509
448	1228	1507
449	1231	1505
450	1234	1502
451	1237	1499
452	1240	1497
453	1242	1494
454	1245	1491
455	1249	1490
456	1252	1488
457	1255	1486
458	1258	1483
459	1262	1481
460	1264	1478
461	1267	1475
462	1270	1473
463	1272	1470
464	1275	1467
465	1277	1463
466	1279	1460
467	1282	1457
468	1284	1454
469	1287	1451
470	1289	1448
